explicit_sentence,pred,explicit_sentence_with_no_stopwords,scores
with 2009 rapidly becoming one of the worst accident periods for many years including the recent tragic events resulting in loss of life any weaknesses within the european aviation authorities and the eu only serve to promote unsafe practices,1,2009 rapidly becoming one worst accident periods many years including recent tragic events resulting loss life weaknesses within european aviation authorities eu serve promote unsafe practices,"[5.102024829284346e-07, 2.2687756882078247e-06, 2.1386931621236727e-06, 3.686226136778714e-06, 6.402971393981716e-06, 1.7909726011566818e-05, 2.415789094811771e-05, 2.234834937553387e-05, 5.588723433902487e-05, 9.112964471569285e-05, 0.00012404186418280005, 0.0002942832943517715, 0.0004654675431083888, 0.0012614431325346231, 0.002702360274270177, 0.005716698244214058, 0.007330998312681913, 0.012162636034190655, 0.04715763032436371, 0.06395451724529266, 0.06225580722093582, 0.1314457207918167, 0.17463749647140503, 0.5263798832893372, 0.986549437046051, 1.9968231916427612]"
according to richard w fisher president and ceo of the federal reserve bank of dallas the fed s interest rate policy during the early 2000s decade was misguided because measured inflation in those years was below true inflation which led to a monetary policy that contributed to the housing bubble,1,according richard w fisher president ceo federal reserve bank dallas fed interest rate policy early 2000s decade misguided measured inflation years true inflation led monetary policy contributed housing bubble,"[1.2255407000338892e-07, 3.1525985377811594e-07, 4.4020680434186943e-07, 1.4530479575114441e-06, 1.328700363956159e-06, 3.0287587833299767e-06, 5.13186114403652e-06, 9.89603631751379e-06, 9.877376214717515e-06, 2.0551040506688878e-05, 2.9797916795359924e-05, 4.64623881271109e-05, 9.915611008182168e-05, 0.19082996249198914, 0.00043764201109297574, 0.0006637663464061916, 0.001285376027226448, 0.0021418556571006775, 0.0043257614597678185, 0.060079704970121384, 0.009959661401808262, 0.018868502229452133, 0.060079704970121384, 0.06707366555929184, 0.09400986135005951, 0.19082996249198914, 0.3433380722999573, 0.7467283606529236, 1.3077774047851562]"
the situation resulted in a lawsuit being filed against wwe by event promoter corey maclin,1,situation resulted lawsuit filed wwe event promoter corey maclin,"[0.013104178942739964, 0.01602141372859478, 0.026485625654459, 0.052415430545806885, 0.10313961654901505, 0.17967452108860016, 0.34215301275253296, 0.5219674110412598, 1.0821677446365356]"
many times the disease is associated with asthma or allergies and treatment of those associated problems tends to help the chronic sinusitis,1,many times disease associated asthma allergies treatment associated problems tends help chronic sinusitis,"[0.001565689453855157, 0.006017363164573908, 0.006411420647054911, 0.06638237088918686, 0.0116575313732028, 0.014675110578536987, 0.05268043652176857, 0.06638237088918686, 0.2038654386997223, 0.17348748445510864, 0.2386789619922638, 0.7226436734199524, 1.328989028930664]"
sexual dysfunctions include a sexual desire disorders hypoactive sexual desire disorder and sexual aversion disorder b sexual arousal disorders female sexual arousal disorder and male erectile disorder c orgasmic disorders female orgasmic disorder male orgasmic disorder and premature ejaculation d sexual pain disorders dyspareunia and vaginismus e sexual dysfunction due to a general medical condition as well as f substance induced sexual dysfunction,1,sexual dysfunctions include sexual desire disorders hypoactive sexual desire disorder sexual aversion disorder b sexual arousal disorders female sexual arousal disorder male erectile disorder c orgasmic disorders female orgasmic disorder male orgasmic disorder premature ejaculation sexual pain disorders dyspareunia vaginismus e sexual dysfunction due general medical condition well f substance induced sexual dysfunction,"[0.6285319328308105, 8.625111042048772e-12, 1.696844748044768e-11, 0.6285319328308105, 3.4287350736406097e-10, 0.0003963082272093743, 1.6122836399290463e-10, 0.6285319328308105, 3.4287350736406097e-10, 1.5710224033682607e-05, 0.6285319328308105, 1.6909291744582333e-09, 1.5710224033682607e-05, 3.918654734036409e-09, 0.6285319328308105, 4.090105321097326e-08, 0.0003963082272093743, 1.8459440980223008e-06, 0.6285319328308105, 4.090105321097326e-08, 1.5710224033682607e-05, 4.450044343684567e-06, 2.3133921445150918e-07, 1.5710224033682607e-05, 3.9154460296231264e-07, 1.0144630323338788e-05, 0.0003963082272093743, 1.8459440980223008e-06, 1.0144630323338788e-05, 1.5710224033682607e-05, 4.450044343684567e-06, 1.0144630323338788e-05, 1.5710224033682607e-05, 1.8303884644410573e-05, 3.77466349164024e-05, 0.6285319328308105, 0.00010276831017108634, 0.0003963082272093743, 0.000323936139466241, 0.000674882554449141, 0.0013665530132129788, 0.6285319328308105, 1.1085317134857178, 0.009806889109313488, 0.018778162077069283, 0.035685453563928604, 0.04007691890001297, 0.07894518226385117, 0.18226316571235657, 0.2890666425228119, 0.3729756772518158, 0.6285319328308105, 1.1085317134857178]"
metabolic syndrome is associated with abdominal obesity blood lipid disorders inflammation insulin resistance full blown diabetes and increased risk of developing cardiovascular disease,1,metabolic syndrome associated abdominal obesity blood lipid disorders inflammation insulin resistance full blown diabetes increased risk developing cardiovascular disease,"[2.0147432223893702e-05, 5.167784183868207e-05, 8.510607585776597e-05, 9.990551188820973e-05, 0.00018252877634949982, 0.0003308381710667163, 0.0008634167606942356, 0.0016166530549526215, 0.0031154484022408724, 0.004401390440762043, 0.00947412010282278, 0.018564902245998383, 0.06609971076250076, 0.07131290435791016, 0.0812857523560524, 0.22105473279953003, 0.2670730650424957, 0.5573949813842773, 1.1132007837295532]"
they concluded that some damage had been caused by the warfare however most of the damage had been the result of deliberate destruction by heavy machinery,1,concluded damage caused warfare however damage result deliberate destruction heavy machinery,"[0.006281815469264984, 0.07283429801464081, 0.01178282592445612, 0.02171332761645317, 0.03914043307304382, 0.07283429801464081, 0.12652480602264404, 0.3920551538467407, 0.3821966350078583, 0.5887351036071777, 1.3072025775909424]"
when you are in a situation where you want to make your penis larger these feelings can result in panic attacks,1,situation want make penis larger feelings result panic attacks,"[0.006272017490118742, 0.011998492293059826, 0.02363935112953186, 0.03588937595486641, 0.10078706592321396, 0.3041357398033142, 0.2674064636230469, 0.6912395358085632, 1.1370761394500732]"
clomid can cause side effects such as ovarian hyperstimulation rare visual disturbances nausea diminished trait of the cervical mucus multiple births and others,1,clomid cause side effects ovarian hyperstimulation rare visual disturbances nausea diminished trait cervical mucus multiple births others,"[0.00010613219637889415, 0.00012563973723445088, 0.00026842253282666206, 0.0008171097142621875, 0.0013919523917138577, 0.0017090289620682597, 0.003475914942100644, 0.006896329112350941, 0.008156594820320606, 0.026369670405983925, 0.029028143733739853, 0.03442170470952988, 0.0771758183836937, 0.17104168236255646, 0.3696460723876953, 0.5374097228050232, 1.1497819423675537]"
hair loss can be caused by hormonal changes poor digestion low thyroid functioning nutrient deficiencies such as essential fatty acids biotin zinc iodine iron b vitamins stress rapid weight loss intestinal parasites fungal infections damage from hair treatments and many other problems,1,hair loss caused hormonal changes poor digestion low thyroid functioning nutrient deficiencies essential fatty acids biotin zinc iodine iron b vitamins stress rapid weight loss intestinal parasites fungal infections damage hair treatments many problems,"[0.22198493778705597, 0.006898694671690464, 1.1377684216995476e-07, 1.35142286694645e-07, 2.1722917153965682e-07, 5.559836608881596e-07, 6.499103619717062e-07, 1.004163323159446e-06, 1.9392143713048426e-06, 2.6442330636200495e-06, 6.0110155573056545e-06, 1.555972994538024e-05, 2.954824230982922e-05, 4.4951302697882056e-05, 6.841568392701447e-05, 0.00010785668564494699, 0.0003133866412099451, 0.00025963920052163303, 0.0006227708654478192, 0.0014462362742051482, 0.001281438278965652, 0.0026376983150839806, 0.0024153755512088537, 0.004052625969052315, 0.006898694671690464, 0.03735123202204704, 0.02729315310716629, 0.09724485129117966, 0.07464054226875305, 0.14070287346839905, 0.22198493778705597, 0.4385334849357605, 0.5628429651260376, 1.6305477619171143]"
a 65 year old woman with bipolar disorder and complicated cardiovascular disease who was on maintenance lithium therapy developed a movement disorder following high doses of trazodone for treatment of an acute depression,1,65 year old woman bipolar disorder complicated cardiovascular disease maintenance lithium therapy developed movement disorder following high doses trazodone treatment acute depression,"[1.5911634818621678e-06, 2.8392560125212185e-06, 7.205346264527179e-06, 1.5944926417432725e-05, 2.9339569664443843e-05, 0.010305953212082386, 0.00012802379205822945, 0.00024750642478466034, 0.00043907412327826023, 0.0006780969561077654, 0.0016126536065712571, 0.001784746185876429, 0.00346486852504313, 0.007108909077942371, 0.010305953212082386, 0.013485836796462536, 0.03944694995880127, 0.06811485439538956, 0.10966925323009491, 0.37251216173171997, 0.4054260849952698, 1.1741490364074707]"
when there is an excess amount of cholesterol in the arteries the cholesterol begins to build up and can cause narrowing of the arteries and may lead to blockages,1,excess amount cholesterol arteries cholesterol begins build cause narrowing arteries may lead blockages,"[0.0023144581355154514, 0.0029112028423696756, 0.010152366012334824, 0.20381689071655273, 0.010152366012334824, 0.015228837728500366, 0.033385634422302246, 0.052326496690511703, 0.16005569696426392, 0.20381689071655273, 0.4071308374404907, 0.547690749168396, 1.538800835609436]"
vonage said belatedly that the outage was due to problems with an upgrade,1,vonage said belatedly outage due problems upgrade,"[0.05622537061572075, 0.0771695077419281, 0.12496420741081238, 0.24739044904708862, 0.36962172389030457, 0.8479985594749451, 1.5791382789611816]"
since the presence of chemicals power lines or other alleged cancer risks is likely to be persistent or increasing any cancers caused by such environmental factors would reflect that steady or growing level of exposure,1,since presence chemicals power lines alleged cancer risks likely persistent increasing cancers caused environmental factors would reflect steady growing level exposure,"[2.975539246108383e-05, 4.733575042337179e-05, 0.00011841102968901396, 7.476012251572683e-05, 0.00024360451789107174, 0.0002945425803773105, 0.0005934068467468023, 0.0012071470264345407, 0.0016759885475039482, 0.0026098783127963543, 0.007743528578430414, 0.006610555574297905, 0.0177798829972744, 0.035053323954343796, 0.0542277954518795, 0.10936377942562103, 0.16708755493164062, 0.20721447467803955, 0.29145529866218567, 0.5619348287582397, 1.5032131671905518]"
hormone therapy causes impotence and may increase the risks of heart attack stroke and diabetes,1,hormone therapy causes impotence may increase risks heart attack stroke diabetes,"[0.006040305830538273, 0.005201371386647224, 0.010288532823324203, 0.026511549949645996, 0.034150559455156326, 0.0686698853969574, 0.09285374730825424, 0.15758870542049408, 0.27489009499549866, 0.6100699305534363, 1.4780842065811157]"
